Address,AreaName,bedrooms,bathrooms,sqft_living,sqft_lot,floors, price 
,,3,2.5,1810,914,3,"$450,000.00 "
,,4,2.5,3290,6203,2,"$648,000.00 "
,,4,2.5,3250,5000,2,"$580,000.00 "
,,4,2.5,2544,4071,2,"$415,000.00 "
,,3,2.5,1380,1389,3,"$527,500.00 "
,,3,2.25,1430,800,2,"$384,000.00 "
,,3,2.5,3490,28213,1.5,"$692,000.00 "
,,2,1.5,910,966,2,"$455,000.00 "
,,4,3.25,3080,4120,2,"$1,280,000.00 "
,,3,2.5,2280,6031,2,"$415,000.00 "
,,3,2.5,1660,1344,3,"$975,000.00 "
,,4,2.5,3320,7429,2,"$799,950.00 "
,,5,4,1680,7268,1,"$545,000.00 "
,,4,3.5,2584,5005,2,"$429,900.00 "
,,3,2.5,2217,8019,2,"$275,000.00 "
,,3,2.5,2480,4136,2,"$498,000.00 "
,,3,2.5,2610,7256,2,"$754,950.00 "
,,4,3,3240,5562,2,"$895,000.00 "
,,4,3.25,3569,8327,2,"$580,000.00 "
,,4,2.5,3181,5831,2,"$379,900.00 "
,,4,2.5,1921,4888,2,"$245,000.00 "
,,3,2.5,1570,4926,2,"$417,000.00 "
,,3,2.5,1940,3211,2,"$555,000.00 "
,,3,2.5,1940,3211,2,"$555,000.00 "
,,4,2.5,2210,13721,2,"$353,000.00 "
,,3,2.25,1280,1187,2,"$539,000.00 "
,,3,2,1520,5040,2,"$434,900.00 "
,,2,2.25,1230,1078,2,"$325,000.00 "
,,3,2.5,1480,2159,3,"$650,000.00 "
,,4,2.5,2612,5850,2,"$379,950.00 "
,,3,2.5,2350,4975,2,"$700,000.00 "
,,3,2.5,1300,1590,2,"$675,000.00 "
,,4,1.5,2020,7560,1,"$379,000.00 "
,,3,2.5,2140,2867,2,"$571,000.00 "
,,3,2.25,1380,1621,2,"$475,000.00 "
,,4,3.5,2730,3047,2,"$769,900.00 "
,,4,3.5,4220,5817,2,"$633,000.00 "
,,3,2.5,1570,1433,3,"$635,000.00 "
,,4,3.5,4670,6000,2,"$1,238,000.00 "
,,3,2.25,1370,1007,3,"$524,000.00 "
,,4,3.5,3273,5115,2,"$485,000.00 "
,,3,4,3880,13095,2,"$1,030,000.00 "
,,3,3.5,1494,1262,3,"$650,000.00 "
,,3,2.5,2930,5641,2,"$754,842.00 "
,,4,2.5,2598,5553,2,"$428,900.00 "
,,3,2.5,2242,4995,2,"$329,900.00 "
,,4,2.5,2830,5932,2,"$1,035,290.00 "
,,4,2.5,2710,6937,2,"$544,999.00 "
,,4,2.75,2320,4344,2,"$449,950.00 "
,,4,2.5,2720,7991,2,"$635,000.00 "
,,3,1.75,1650,1180,3,"$599,000.00 "
,,3,3.25,1430,1348,2,"$478,000.00 "
,,4,2.5,2090,5040,2,"$388,000.00 "
,,4,3.5,3660,4903,2,"$809,950.00 "
,,4,3.5,4220,8417,3,"$1,060,000.00 "
,,2,2.5,1450,1213,2,"$659,000.00 "
,,4,3.75,3460,6738,2,"$971,971.00 "
,,3,2.5,1350,874,3,"$389,000.00 "
,,4,2.75,3000,5470,2,"$355,000.00 "
,,4,2.5,2950,10003,2,"$551,500.00 "
,,4,2.5,2530,5048,2,"$417,838.00 "
,,4,4.5,4650,7660,2,"$1,750,000.00 "
,,2,1,710,1131,2,"$399,950.00 "
,,4,2.5,3050,8000,2,"$740,000.00 "
,,3,2.5,1150,683,2,"$335,000.00 "
,,5,5.25,3410,8118,2,"$2,250,000.00 "
,,3,1.75,1370,1921,3,"$667,000.00 "
,,4,2.5,3540,7009,2,"$920,000.00 "
,,3,2.5,1370,1350,2,"$368,000.00 "
,,4,2.5,1714,3080,2,"$307,000.00 "
,,4,2.75,3650,4534,2,"$550,000.00 "
,,4,2.5,2990,6037,2,"$594,491.00 "
,,4,2.5,3284,6516,2,"$460,458.00 "
,,4,2.25,3550,13900,1,"$859,000.00 "
,,3,3,1860,2875,2,"$399,950.00 "
,,3,3.25,1720,1977,2,"$547,500.00 "
,,3,2.5,2540,4775,2,"$310,000.00 "
,,4,2.75,3270,12880,2,"$939,000.00 "
,,2,2.5,980,1021,3,"$329,900.00 "
,,3,2.5,1150,1193,2,"$436,000.00 "
,,3,2.5,1820,1855,2,"$320,000.00 "
,,3,2.5,1580,3825,2,"$375,000.00 "
,,3,2,1460,3696,2,"$392,137.00 "
,,4,2.5,2900,4950,2,"$520,000.00 "
,,5,2.75,2620,6389,2,"$535,000.00 "
,,2,2.5,1340,999,2,"$407,000.00 "
,,4,3.25,3266,5398,2,"$424,950.00 "
,,2,1.5,1076,1060,3,"$290,000.00 "
,,3,3.25,1680,1478,2,"$399,000.00 "
,,3,2.5,1930,1348,2,"$439,990.00 "
,,4,2.5,2880,3091,2,"$635,000.00 "
,,4,2.25,2240,5000,2,"$635,000.00 "
,,3,2.5,2594,4455,2,"$351,000.00 "
,,2,1.5,1210,1232,3,"$437,500.00 "
,,4,3.5,3760,5000,2,"$919,204.00 "
,,4,2.5,3600,6055,2,"$923,990.00 "
,,4,2.5,2050,2772,2,"$639,888.00 "
,,3,3.25,1510,2064,2,"$675,000.00 "
,,4,2.5,2580,3909,2,"$899,900.00 "
,,3,2.5,1670,4020,2,"$252,000.00 "
,,4,2.5,3190,10034,2,"$925,000.00 "
,,3,2.5,1280,1920,3,"$552,000.00 "
,,4,2.5,2718,6197,2,"$388,500.00 "
,,2,2,1370,1878,3,"$548,000.00 "
,,3,2.5,1794,4769,2,"$254,950.00 "
,,4,4.5,5120,41327,2,"$1,237,500.00 "
,,3,2.5,2160,1912,2,"$629,000.00 "
,,4,2.5,2180,7204,2,"$734,000.00 "
,,3,2.25,1490,1294,2,"$309,000.00 "
,,3,2.5,2950,10254,2,"$554,950.00 "
,,3,2.75,2990,207781,2,"$785,000.00 "
,,4,2.5,2700,5150,2,"$550,000.00 "
,,4,3.5,3130,5000,3,"$1,010,000.00 "
,,3,2,3620,14250,2,"$1,575,000.00 "
,,5,2.75,2481,4045,2,"$309,000.00 "
,,3,2.5,1730,3600,2,"$328,423.00 "
,,3,1.5,1420,1192,2,"$345,000.00 "
,,5,3.5,3160,5175,2,"$660,000.00 "
,,3,3.25,1320,1327,2,"$385,000.00 "
,,2,2.25,1010,1107,2,"$459,000.00 "
,,3,2.5,1870,4046,2,"$248,000.00 "
,,4,3.5,5220,15411,2,"$1,481,000.00 "
,,4,2.5,2260,5824,2,"$379,000.00 "
,,5,4.5,4340,5722,3,"$2,945,000.00 "
,,2,2.25,1620,1841,2,"$395,000.00 "
,,3,2.5,2280,2289,2,"$535,000.00 "
,,5,3.5,3400,9804,2,"$970,000.00 "
,,2,1.5,830,1020,2,"$205,000.00 "
,,4,2.5,2310,7384,2,"$310,000.00 "
,,2,1.5,830,1858,2,"$334,500.00 "
,,5,3.25,4130,7197,2,"$995,000.00 "
,,4,3,2050,4000,2,"$370,228.00 "
,,4,2.5,2050,4953,2,"$383,000.00 "
,,3,2.5,1600,2610,2,"$384,500.00 "
,,5,2.5,3190,8160,2,"$865,000.00 "
,,4,3.75,3860,5474,2.5,"$1,051,000.00 "
,,4,2.5,2040,5616,2,"$502,000.00 "
,,4,3.5,3845,8400,2,"$1,750,000.00 "
,,4,2.5,2650,6875,2,"$569,995.00 "
,,4,2.5,3430,64441,2,"$749,950.00 "
,,3,2.5,2430,5400,2,"$550,000.00 "
,,3,3.5,2876,5086,2,"$525,000.00 "
,,4,3.5,2550,8698,2,"$516,000.00 "
,,4,3.75,4100,61419,2,"$1,350,000.00 "
,,4,2.5,2730,4526,2,"$440,000.00 "
,,3,2.5,1780,1729,2,"$660,000.00 "
,,3,2.5,1880,5000,2,"$261,950.00 "
,,5,3.75,3090,4943,2,"$551,000.00 "
,,3,3.5,2460,14155,2,"$665,000.00 "
,,4,3.5,2910,5260,2,"$610,000.00 "
,,4,3.5,2910,5260,2,"$645,000.00 "
,,3,1.75,1930,6360,1,"$536,751.00 "
,,3,2.25,1413,3403,2,"$260,000.00 "
,,3,3.25,4030,6300,2,"$1,312,000.00 "
,,4,3.25,2880,5929,2.5,"$429,900.00 "
,,4,2.75,2360,15100,1,"$535,000.00 "
,,2,1.75,1070,1276,3,"$462,550.00 "
,,3,3.25,1460,1367,3,"$602,000.00 "
,,4,2.75,3800,9606,2,"$730,000.00 "
,,2,1.5,1190,801,3,"$300,500.00 "
,,5,2.5,3200,6455,2,"$675,000.00 "
,,3,2.25,1970,2377,2,"$415,000.00 "
,,3,2.5,2830,5831,2,"$614,000.00 "
,,4,2.5,2630,5701,2,"$385,000.00 "
,,4,2.75,2720,4613,2,"$594,000.00 "
,,4,2.75,3160,8097,2,"$860,000.00 "
,,4,4,3770,8899,2,"$1,104,500.00 "
,,4,2.75,3500,6226,2,"$775,000.00 "
,,5,2.75,2710,4685,2,"$430,760.00 "
,,2,2.5,2170,6361,1,"$755,000.00 "
,,2,2.25,1540,958,3,"$640,000.00 "
,,3,3.25,1876,1531,3,"$613,500.00 "
,,4,3.5,3720,213073,1,"$780,000.00 "
,,4,2.5,3148,9612,2,"$550,000.00 "
,,4,3.25,3240,4852,2,"$789,500.00 "
,,5,3.5,3340,5000,2,"$592,000.00 "
,,4,2.5,2413,5701,2,"$454,950.00 "
,,4,2.5,2500,4500,2,"$475,000.00 "
,,2,1.75,1180,904,2,"$659,000.00 "
,,4,2.5,2890,5801,2,"$570,000.00 "
,,5,3,2230,6551,1,"$347,500.00 "
,,4,2.5,1767,4500,2,"$205,000.00 "
,,3,3.25,1450,1468,2,"$380,000.00 "
,,5,2.75,2930,7663,2,"$718,000.00 "
,,5,2.75,2710,4136,2,"$515,805.00 "
,,4,3.25,3600,18645,2,"$1,029,280.00 "
,,3,2.5,1800,3265,2,"$437,718.00 "
,,4,2.5,2290,5515,2,"$450,000.00 "
,,3,2.5,1510,1178,2,"$515,000.00 "
,,2,2.5,1090,13444,2,"$204,000.00 "
,,3,2,1270,1323,3,"$360,000.00 "
,,3,2.25,1540,1005,3,"$550,000.00 "
,,3,2.5,2930,6050,2,"$650,880.00 "
,,5,3.75,4360,8504,2,"$1,789,950.00 "
,,4,3.5,3640,4983,2,"$895,900.00 "
,,4,2.5,2430,4747,2,"$585,000.00 "
,,3,2.25,1520,1464,2,"$380,000.00 "
,,5,2.75,2730,5820,2,"$565,997.00 "
,,3,3,2440,2076,2,"$459,000.00 "
,,3,3.75,1580,1303,2,"$550,000.00 "
,,3,2.25,1420,983,3,"$500,000.00 "
,,5,3.25,2820,3275,2,"$461,500.00 "
,,4,5.5,5060,10320,2,"$2,150,000.00 "
,,4,2.5,2650,5000,2,"$790,000.00 "
,,3,2.25,1490,1212,2,"$735,000.00 "
,,4,2.5,3060,7710,2,"$588,000.00 "
,,3,3.25,3240,4185,2,"$724,500.00 "
,,3,2.75,2820,5348,2,"$749,000.00 "
,,5,3.5,4140,7642,2,"$720,000.00 "
,,2,1.5,982,846,2,"$250,000.00 "
,,3,2.75,2460,3600,2,"$790,000.00 "
,,4,2.5,2547,4800,2,"$392,440.00 "
,,4,2.25,1834,7460,2,"$280,000.00 "
,,4,4.5,3130,5126,3,"$1,333,000.00 "
,,4,2.5,2730,4847,2,"$649,000.00 "
,,2,2.5,1380,1329,2,"$457,000.00 "
,,4,4.25,4700,10800,2,"$2,225,000.00 "
,,3,3,2330,4284,2,"$453,000.00 "
,,3,2.5,1730,3600,2,"$329,780.00 "
,,2,2.5,2350,2390,3,"$1,050,000.00 "
,,5,4.5,4000,6713,2,"$771,005.00 "
,,3,2.5,3350,7752,1,"$1,300,000.00 "
,,3,3.25,1530,1612,3,"$607,500.00 "
,,2,2.25,1610,1968,2,"$278,000.00 "
,,4,2.75,2620,6178,2,"$475,000.00 "
,,3,2,1300,1920,2,"$270,000.00 "
,,4,3.5,3590,5334,2,"$1,302,000.00 "
,,4,2.5,2490,5647,2,"$778,983.00 "
,,3,2.5,1320,1780,2,"$221,000.00 "
,,4,2.25,1800,2752,2,"$338,800.00 "
,,5,1.5,3360,5225,2,"$834,995.00 "
,,4,2.5,3220,9328,2,"$550,000.00 "
,,3,3.5,2514,1559,2,"$575,000.00 "
,,4,2.75,3130,9711,2,"$649,000.00 "
,,4,2.5,2720,4738,2,"$545,000.00 "
,,2,2.25,1390,916,2,"$625,000.00 "
,,4,4.5,4920,270236,2,"$1,042,000.00 "
,,3,2.5,2134,1984,2.5,"$611,000.00 "
,,3,2.5,1741,5701,2,"$300,000.00 "
,,3,2.5,2560,5238,2,"$577,000.00 "
,,4,2.5,2220,3561,2,"$349,990.00 "
,,3,2.5,1910,4363,2,"$650,000.00 "
,,2,1.5,980,853,2,"$378,000.00 "
,,3,2.5,1950,4197,2,"$313,200.00 "
,,5,4.25,4150,12015,2,"$1,206,690.00 "
,,2,1.5,1110,986,2,"$252,500.00 "
,,3,2.5,1250,1150,2,"$308,000.00 "
,,4,2.5,3310,5404,2,"$803,100.00 "
,,4,2.5,2020,5501,2,"$415,000.00 "
,,4,3.5,3310,4850,2,"$785,000.00 "
,,4,2.5,2798,4473,2,"$499,950.00 "
,,4,2.5,1847,8000,2,"$216,000.00 "
,,4,2.5,2420,4981,2,"$380,000.00 "
,,4,2.5,2020,3600,2,"$345,000.00 "
,,4,2.5,2400,6811,2,"$456,500.00 "
,,3,2.5,1760,5390,1,"$382,495.00 "
,,4,2.5,2110,4178,2,"$324,950.00 "
,,4,2.5,2692,8392,2,"$436,472.00 "
,,3,2.25,1490,4522,2,"$365,250.00 "
,,5,3.25,3960,6352,2,"$919,990.00 "
,,4,2.5,1740,4642,2,"$316,475.00 "
,,4,2.5,1940,4517,1,"$425,000.00 "
,,2,1,970,3279,2,"$302,860.00 "
,,3,2.5,1852,4000,2,"$298,000.00 "
,,4,4,4810,18851,2,"$3,204,000.00 "
,,4,4,5635,9695,2,"$950,000.00 "
,,3,2.5,1520,3041,2,"$333,000.00 "
,,3,2.5,2099,4275,2,"$289,950.00 "
,,3,2.25,1250,811,3,"$419,950.00 "
,,2,1.5,1090,1183,3,"$306,000.00 "
,,4,2.5,3216,5902,2,"$498,445.00 "
,,4,2.5,2970,4400,2,"$775,950.00 "
,,3,2.5,2610,6405,2,"$605,000.00 "
,,2,1.75,1340,1368,2,"$520,000.00 "
,,4,2.75,3300,4987,2,"$849,990.00 "
,,3,2,1630,7599,1,"$767,450.00 "
,,3,2.25,1590,929,2,"$665,000.00 "
,,2,2.75,1310,1268,3.5,"$525,000.00 "
,,4,3.5,3600,5697,2,"$870,515.00 "
,,4,2.5,2154,4153,2,"$390,000.00 "
,,3,1.75,1530,825,3,"$500,000.00 "
,,3,2.25,1360,1041,2,"$399,950.00 "
,,3,2.5,1320,2480,2,"$305,000.00 "
,,4,2.5,1660,6724,2,"$255,000.00 "
,,4,2.5,2891,6499,2,"$415,000.00 "
,,3,2.5,2340,2155,2,"$716,500.00 "
,,3,2.5,2320,2267,3,"$425,000.00 "
,,4,2.5,2190,3855,2,"$540,000.00 "
,,3,2.5,2060,4742,2,"$324,747.00 "
,,3,2.5,1740,4145,2,"$385,000.00 "
,,3,2.25,1400,3825,2,"$270,000.00 "
,,5,4,4410,14380,2,"$1,240,000.00 "
,,3,2.5,1780,1647,2,"$672,000.00 "
,,3,2.5,1760,10137,2,"$310,000.00 "
,,3,3.5,4410,10756,2,"$3,000,000.00 "
,,6,4.25,5550,11547,2,"$2,350,000.00 "
,,3,2.5,2432,9391,2,"$427,000.00 "
,,3,2.5,2283,3996,2,"$389,950.00 "
,,3,2.5,1860,3730,2,"$309,620.00 "
,,4,2.5,2701,4500,2,"$399,895.00 "
,,4,2.5,2930,4875,2,"$442,515.00 "
,,3,2.25,1540,1561,3,"$375,000.00 "
,,3,2.5,2242,4500,2,"$309,780.00 "
,,3,2.5,1950,4345,2,"$425,000.00 "
,,2,3,1160,1073,2,"$405,000.00 "
,,3,2.5,2060,5115,2,"$356,250.00 "
,,3,2.25,1230,875,3,"$550,000.00 "
,,2,1.5,1160,1438,2,"$340,000.00 "
,,4,2.5,2245,4301,2,"$362,865.00 "
,,4,3.5,4120,12626,2,"$1,360,000.00 "
,,4,2.5,3400,9692,2,"$830,000.00 "
,,5,3.75,4270,7500,2,"$1,598,000.00 "
,,4,3.5,2890,5911,2,"$855,000.00 "
,,5,3.5,3220,8000,2,"$1,205,000.00 "
,,4,3.5,4010,15365,2,"$1,385,000.00 "
,,4,3.5,2260,30250,2,"$400,200.00 "
,,2,1,1140,1730,1.5,"$235,000.00 "
,,3,2,1640,4714,1,"$349,950.00 "
,,4,2.75,3510,9400,2,"$659,950.00 "
,,3,2.75,3010,1842,2,"$785,000.00 "
,,2,2.25,1060,925,2,"$475,000.00 "
,,3,2.5,1658,2700,2,"$263,900.00 "
,,3,2.5,1960,3540,2,"$342,000.00 "
,,3,2.5,2420,4725,2,"$367,899.00 "
,,3,3.5,3420,23786,1.5,"$657,044.00 "
,,2,1.5,893,965,2,"$359,950.00 "
,,4,2.75,3020,7203,2,"$879,950.00 "
,,4,2.5,2470,5954,2,"$550,000.00 "
,,4,2.5,2009,4800,2,"$279,000.00 "
,,3,2.5,1530,1116,2.5,"$255,000.00 "
,,3,1.75,1590,1113,3,"$609,500.00 "
,,5,3,2630,3149,2,"$420,000.00 "
,,4,2.5,3230,7187,2,"$570,000.00 "
,,3,2.25,1430,2343,2,"$439,000.00 "
,,3,2.5,2242,5744,2,"$310,000.00 "
,,4,2.5,2500,4000,2,"$635,000.00 "
,,3,2.5,1230,922,2,"$399,950.00 "
,,4,2.5,3020,3600,2.5,"$805,000.00 "
,,4,3.5,3480,4000,2,"$1,800,000.00 "
,,4,3,3330,7650,1,"$1,205,000.00 "
,,4,2.5,3400,4840,2,"$745,000.00 "
,,2,1.5,830,1119,2,"$329,445.00 "
,,5,3,3110,4464,2,"$588,000.00 "
,,3,2.5,1910,2091,2,"$494,815.00 "
,,3,2.75,3230,5250,2,"$591,975.00 "
,,5,2.75,3380,8179,2,"$600,000.00 "
,,3,2.75,2830,3496,2,"$673,000.00 "
,,5,3.5,3700,7055,2,"$889,950.00 "
,,4,3,2520,4104,2,"$500,000.00 "
,,3,2.25,1530,1396,2,"$500,000.00 "
,,4,4.25,4420,5750,2,"$890,000.00 "
,,3,3,1460,1180,3,"$437,000.00 "
,,3,2.25,1450,1486,2,"$419,700.00 "
,,3,2,1160,3441,1,"$394,000.00 "
,,3,2,1640,4802,1,"$342,000.00 "
,,3,1.75,1444,249126,1.5,"$420,000.00 "
,,3,2.5,1620,1173,3,"$580,000.00 "
,,2,1.5,1100,1228,2,"$343,000.00 "
,,2,1.5,1340,1402,2,"$390,000.00 "
,,3,1.5,1450,4694,2,"$274,000.00 "
,,4,2.5,3040,7200,2,"$700,000.00 "
,,4,2.5,2560,7210,2,"$838,000.00 "
,,6,3,2744,9926,2,"$300,000.00 "
,,3,2.25,1420,990,3,"$467,000.00 "
,,2,1,700,7457,1,"$395,000.00 "
,,5,4.25,4110,42755,2,"$734,000.00 "
,,5,2.75,2670,4780,2,"$480,000.00 "
,,3,2.75,2130,1400,2,"$539,000.00 "
,,5,2.75,3078,6371,2,"$459,950.00 "
,,2,1,840,892,2,"$306,500.00 "
,,3,2.5,1800,2731,2,"$408,474.00 "
,,3,2.75,2580,5200,2,"$437,000.00 "
,,3,1.5,1270,2356,2,"$160,797.00 "
,,4,3.5,3065,5440,3,"$729,000.00 "
,,3,2.5,1861,1587,2,"$499,000.00 "
,,4,2.75,2260,5705,2,"$359,950.00 "
,,5,3.25,4150,7100,2,"$929,000.00 "
,,2,2.5,1500,1174,2,"$529,950.00 "
,,3,2.25,1620,998,2.5,"$461,000.00 "
,,2,1.5,830,1325,2,"$271,115.00 "
,,4,2.5,3120,5137,2,"$653,000.00 "
,,3,2.5,1870,1058,3,"$565,000.00 "
,,3,2.25,1240,1250,3,"$529,950.00 "
,,4,2.5,2820,5612,2,"$585,000.00 "
,,3,1.75,1630,1526,3,"$609,000.00 "
,,3,2.25,1584,2800,2,"$267,000.00 "
,,4,2.5,2840,4500,2,"$557,000.00 "
,,4,3.25,3910,6293,2,"$709,950.00 "
,,3,2.5,1730,1301,3,"$625,000.00 "
,,3,2.75,1840,2060,2,"$599,000.00 "
,,4,3.75,4030,503989,2,"$920,000.00 "
,,4,3.5,3440,3800,3,"$1,285,000.00 "
,,4,2.5,2110,3825,2,"$324,500.00 "
,,3,2.5,2430,5866,2,"$471,500.00 "
,,4,3.75,4690,207141,2,"$1,015,000.00 "
,,4,3.5,3500,43560,2,"$998,000.00 "
,,4,2.5,2070,8685,2,"$262,000.00 "
,,4,3.5,3350,6350,2,"$844,000.00 "
,,4,2.5,2440,4850,2,"$745,641.00 "
,,5,3,3010,7357,2,"$659,950.00 "
,,3,2.5,2060,4200,2,"$339,989.00 "
,,2,2.5,1570,2399,2,"$352,500.00 "
,,3,2.5,1580,1161,2,"$525,000.00 "
,,5,3.5,4280,6530,2,"$1,138,990.00 "
,,5,3.5,2815,4900,2,"$491,000.00 "
,,4,2.5,2620,6114,2,"$675,000.00 "
,,3,2.25,1250,1033,3,"$344,000.00 "
,,4,2.5,3250,4500,2,"$530,000.00 "
,,4,3.25,2510,7686,2,"$290,500.00 "
,,2,1.75,1270,1685,2,"$335,000.00 "
,,5,4,6670,16481,2,"$2,998,000.00 "
,,3,2.5,1580,3075,2,"$379,000.00 "
,,3,1.5,1360,2030,3,"$385,000.00 "
,,4,2.5,2400,9612,1,"$500,012.00 "
,,3,3,1571,2017,3,"$366,750.00 "
,,2,2,1405,1073,2,"$405,000.00 "
,,3,1.5,1010,1546,2,"$356,999.00 "
,,2,2.5,1450,1281,2,"$590,000.00 "
,,3,1.75,1420,1361,2,"$294,000.00 "
,,4,2.5,2650,4644,2,"$731,500.00 "
,,5,2.75,3030,7679,2,"$837,219.00 "
,,4,5.5,6530,871200,2,"$1,600,000.00 "
,,3,2.75,2670,3738,1,"$798,800.00 "
,,2,2.5,1170,809,2,"$482,500.00 "
,,4,2.5,3260,26772,2,"$820,000.00 "
,,3,1.5,1480,1722,3,"$319,000.00 "
,,3,2.5,2700,6947,2,"$950,000.00 "
,,4,3.5,4640,13404,2,"$1,267,500.00 "
,,3,2.5,1601,2491,3,"$378,000.00 "
,,5,3.75,5350,15360,1,"$3,345,000.00 "
,,3,2.5,2540,5237,2,"$489,950.00 "
,,2,1.75,1030,1106,2,"$345,000.00 "
,,3,2.5,2730,7136,2,"$510,000.00 "
,,4,2.5,3172,5033,2,"$432,500.00 "
,,4,2.5,3160,8530,2,"$650,000.00 "
,,4,2.5,2850,12429,2,"$750,000.00 "
,,4,3.5,2780,3100,2,"$870,000.00 "
,,4,3.5,3860,6543,2,"$900,000.00 "
,,2,1.75,1180,900,2,"$664,950.00 "
,,3,2.25,1410,1290,2,"$391,000.00 "
,,4,3.5,6370,205603,2,"$1,800,000.00 "
,,5,3,3223,6371,2,"$479,349.00 "
,,4,3.25,2600,2074,2,"$661,000.00 "
,,3,3.25,1380,1234,3,"$379,000.00 "
,,3,2.25,1620,998,2.5,"$415,000.00 "
,,3,3.25,1370,1227,3,"$375,000.00 "
,,3,2,1220,1186,3,"$355,000.00 "
,,3,2.5,1280,1889,3,"$540,000.00 "
,,2,1.5,770,850,2,"$290,000.00 "
,,3,2.5,1210,1200,3,"$500,000.00 "
,,4,2.5,2890,6322,2,"$416,000.00 "
,,3,2.5,1580,2765,2,"$349,900.00 "
,,3,2.25,1530,1245,2,"$465,000.00 "
,,4,2.5,3670,7680,2.5,"$950,000.00 "
,,4,2.25,1850,2340,2.5,"$496,800.00 "
,,4,2.5,2440,6581,2,"$680,000.00 "
,,4,3.25,2190,4265,2,"$920,000.00 "
,,5,4,4360,8030,2,"$1,289,990.00 "
,,4,2.75,3990,6637,2,"$825,000.00 "
,,3,2.5,1270,1283,3,"$292,000.00 "
,,4,2.5,3340,6924,2,"$576,000.00 "
,,2,2,1500,761,3,"$670,000.00 "
,,4,3.5,3120,5086,2,"$953,007.00 "
,,4,2.5,2480,4334,2,"$399,000.00 "
,,2,2,1110,1155,3,"$399,000.00 "
,,4,2.75,2760,5670,2,"$847,093.00 "
,,3,2.5,1510,1493,3,"$599,950.00 "
,,3,2.5,1460,1614,2,"$499,000.00 "
,,4,2.75,3980,285318,2,"$760,000.00 "
,,4,3.75,3320,8234,2,"$1,699,990.00 "
,,4,3.25,3270,5187,2,"$1,033,890.00 "
,,4,2.5,2670,8765,2,"$515,000.00 "
,,3,2.25,1410,1332,2,"$355,000.00 "
,,4,2.75,2475,4000,2,"$319,900.00 "
,,3,3.5,1600,1431,2,"$460,000.00 "
,,2,1,1290,3383,2,"$305,000.00 "
,,3,2.5,1608,4818,2,"$280,000.00 "
,,2,2.25,1300,2104,2,"$394,950.00 "
,,4,3.5,2530,3000,2,"$382,000.00 "
,,3,2.5,1390,1411,3,"$560,000.00 "
,,3,2.25,1640,1204,3,"$772,000.00 "
,,4,2.5,2229,5723,2,"$324,950.00 "
,,3,2.5,1790,3078,2,"$530,000.00 "
,,3,2.25,990,736,2.5,"$384,000.00 "
,,5,2.75,3240,6863,2,"$719,950.00 "
,,2,2.5,1280,819,2,"$319,950.00 "
,,3,2.5,1610,3848,2,"$292,000.00 "
,,6,3.5,3670,3959,2,"$1,500,000.00 "
,,2,2.5,1150,1027,3,"$425,000.00 "
,,5,3.75,3760,4702,2,"$799,950.00 "
,,2,2.5,1320,1157,2,"$499,000.00 "
,,4,2.75,2700,7992,2,"$572,000.00 "
,,2,2,1480,804,3,"$459,000.00 "
,,3,2.25,1410,905,3,"$529,500.00 "
,,4,2.5,3135,5811,2,"$374,500.00 "
,,3,2.5,1480,1485,2,"$584,000.00 "
,,4,4.5,4020,9656,2,"$1,898,000.00 "
,,2,2.25,1060,1209,2,"$505,000.00 "
,,2,2.5,1950,2457,3,"$565,000.00 "
,,4,2.75,3340,5677,2,"$799,000.00 "
,,3,2.5,1570,1452,2.5,"$547,000.00 "
,,3,2.5,1930,6604,2,"$550,000.00 "
,,3,2,1590,8100,1,"$250,000.00 "
,,4,4.5,3720,7746,2,"$960,000.00 "
,,4,4.25,4470,5884,2,"$2,950,000.00 "
,,2,1,1290,1289,2,"$441,000.00 "
,,3,2.25,1489,2800,2,"$265,000.00 "
,,3,2.5,2075,39553,1,"$430,000.00 "
,,3,2.5,1413,3600,2,"$286,800.00 "
,,3,2.5,1300,1362,2,"$375,000.00 "
,,3,3.25,1480,983,2,"$312,500.00 "
,,4,2.75,3320,5559,2,"$850,000.00 "
,,3,2.25,1530,1279,2,"$390,500.00 "
,,3,2.5,1180,932,3,"$455,000.00 "
,,2,2,1190,1303,2,"$455,000.00 "
,,3,2.25,1300,1180,3,"$515,000.00 "
,,3,3.5,1710,2212,2,"$362,500.00 "
,,3,2.5,2390,47480,2,"$460,000.00 "
,,4,3.5,3510,6005,2,"$540,000.00 "
,,3,1.75,1140,1165,2,"$230,000.00 "
,,2,2.5,1320,1329,2,"$425,000.00 "
,,5,3,2100,9752,1,"$298,450.00 "
,,4,2.5,2400,4848,2,"$344,000.00 "
,,3,2.5,1408,989,3,"$416,286.00 "
,,4,2.5,2560,5102,2,"$379,500.00 "
,,2,2.5,1260,1347,3,"$350,000.00 "
,,2,1.75,1290,1624,2,"$258,800.00 "
,,4,2.5,2730,9260,2,"$620,000.00 "
,,2,2.5,1630,1368,2,"$295,000.00 "
,,4,2.75,3530,6844,2,"$908,990.00 "
,,4,2.5,2714,12558,2,"$485,230.00 "
,,3,2.25,1630,2520,2,"$475,000.00 "
,,5,3.25,5790,13726,2,"$1,240,420.00 "
,,3,3,2230,1407,2.5,"$635,000.00 "
,,3,2.5,1380,1590,2,"$350,000.00 "
,,3,3.5,1320,1161,3,"$345,000.00 "
,,2,2,1490,713,3,"$700,000.00 "
